ID,modelling_mask,prediction_mask,Mean_LST,NDVI,Build_ANN12,Build_ANN23,Build_ANN34,Build,dist_centre,dist_water,eastness,elevation,glass,Hard_ANN12,Hard_ANN23,Hard_ANN34,hard,mixed,Nat_ANN12,Nat_ANN23,Nat_ANN34,nat,northness,slope
25726,1,1,14.75133431,0.762487054,0,0,1.935185194,0,5071.629883,2727.88208,0.98135519,42.0663681,0,2.44444418,1.455926299,4.293051243,0,0,97.55555725,98.20518494,84.25324249,100,0.192202896,8.04029274
119140,1,1,12.0135206,0.779285327,0,0,0,0,7810.324219,2096.666504,0.509564817,43.21870422,0,0,0,0,0,0,100,100,100,100,0.860432327,2.609337807
130228,1,1,14.82893121,0.779777959,0.601183832,0.538888931,1.84293282,6.666666985,6861.236328,570.9324341,-0.262343585,22.24991798,0,1.435185075,5.111111164,2.931029797,0,0,97.66733551,76.53333282,42.00292587,93.33333588,-0.964974523,3.677239418
122079,1,1,14.79961431,0.530043505,0,0,0,0,5663.402344,1591.531738,0.99180311,32.25050354,0,0,0,0,0,0,100,100,100,100,-0.127775401,1.007203341
40796,1,1,18.1693635,0.450112671,18.34972954,17.24780273,14.97709465,40.55555344,2058.307617,1187.10083,0.651827276,45.31810761,0,29.58065033,37.742836,43.95938492,34.11111069,25.33333206,11.02640247,9.448192596,7.340634823,0,-0.758367419,1.300903678
59868,1,1,18.5505619,0.46127107,8.584580421,16.56741714,8.22986412,0,4613.068359,1323.397339,-0.762600303,10.28098011,0,16.88729668,9.774799347,16.07312775,93.44444275,0,36.61870575,42.47306442,45.40084076,0,-0.646870017,1.066053629
134005,1,1,16.73901916,0.581355438,12.56081295,12.42260456,15.59916878,1.415571332,5653.535645,1060.92688,0.235929102,25.91428757,0,27.68363953,22.26384926,16.69334412,19.91911125,41.25379562,14.10070705,15.82688046,16.05096436,37.41152573,-0.971770287,0.613521934
44139,1,1,15.03603518,0.790012553,5.89814806,7.00555563,5.171497345,0,3048.979004,3048.536133,0.836280704,31.32988548,0,4.009259224,9.261111259,9.524513245,0,0,76.25926209,66.03333282,70.26138306,100,-0.548301518,5.275913239
85480,0,1,19.83845019,0.13290143,0,0.094444439,0.097222216,0,4927.911133,228.5306396,-0.999632716,3.677270174,0,100,99.90555573,99.90277863,100,0,0,0,0,0,-0.027102031,0.115042686
137588,1,1,14.64073575,0.733364031,0,0,0,0,6477.529785,2524.203369,0.159968793,23.75267792,0,0,0,0,0,0,100,99.67775726,99.59272003,100,-0.987122118,1.56278336
84464,1,1,17.02253437,0.562872276,15.2532959,10.06262016,11.02021122,1.444444418,3311.859619,1740.696167,-0.731016815,45.76994705,0,15.27307129,25.69560242,26.79727554,51.55555725,12.5555563,19.6783371,24.33517456,27.65149879,32.55555725,-0.682359517,3.74023366
19927,1,1,14.84113073,0.773485526,0.731481493,1.194444418,0.407407403,0,3761.610352,1621.518311,0.005097254,11.80162239,0,11.04683018,20.46837235,17.32813263,0,0,87.27935791,73.92324829,81.99930573,100,-0.999987006,0.243990228
28258,1,1,13.7815007,0.794602573,2.259259224,3.75,6.529541016,0,5717.598633,1952.105469,-0.722493529,39.63700485,0,5.374644756,11.20259953,15.95147991,0,0,77.85601044,52.87552261,33.48753738,100,-0.691377699,5.423763275
47813,0,1,15.29844785,0.693685517,0.220793009,4.117430687,4.387090206,0,5507.018066,4004.630127,0.080325708,33.19633484,0,5.068901539,7.834074974,6.894206047,0,0,92.7010498,75.39571381,66.51097107,100,0.996768713,2.192605972
65374,1,1,14.18333709,0.748198807,0,2.394854784,8.4886446,0,5919.097168,60.01508713,-0.956257522,2.717710257,0,5.543683529,20.69258881,10.38648415,0,0,93.554245,67.84702301,57.47232437,100,0.292526096,0.911736906
10621,1,1,14.74084651,0.828179747,0,0,0,0,5772.846191,3534.781738,-0.765121877,6.761720181,0,0.120370366,2.397595882,8.921851158,0,0,99.87963104,97.60240173,91.07814789,100,-0.643885493,0.51704514
